Author,Comment
@vanhoang2369,"Vậy vai trò quản lý, giáo dục của đội bóng chủ quản ở đâu? Sai lầm của Quyến có trách nhiệm rất lớn của những người quản lý. Làm videos mà cái nhìn lùn quá!"
@Phuchoang97799,Lối đá giống Messi
@ĐenHuệ-y6d,Chuyện đã rồi. Em cố gắng dạy bọn trẻ nhé. Em khá thật
@Hidden-Dragon-99,"Biết đến Quyến năm 2000 ở U16 châu Á, ngưỡng mộ với  2 bàn thắng vào lưới Thái Lan ở trận khai mạc và chung kết Sea Game 22 ở Mỹ Đình và đến 2005 thì thật sự SỐC khi biết Quyến nhúng chàm...Rất tiếc, rất rất tiếc cho Quyến"
@TRÂU-85,"Con chuột dính phải tấm bả chuột, con trâu 🐃 công Vinh ăn cỏ chậm chắc lại hay❤ đi nhanh hay bị gió quật ngã ❤"
@hienminh1378,ngoài VQ giờ có QH thấy hay thôi
@uclehuy803,"VFF ra án nặg quá, hủy hoại 1 tài năg. 80 năm nữa mới có 1 VQ thần đồng"
@quynhnguyenngoc410,Tao công nhận cho đến nay VN chưa có tiền đạo nào đá hay như thằng  QUYẾN  KỂ cả Hồng Sơn hay Huỳnh  Đức  ?<br>  Công Phượng thì không là cái đinh gì !❤😂🎉😢❤😮😅😂❤❤
@ThaoPhan-cn2oi,Lloi
@diendo2675,Văn Quyến &quot;thiên tài &quot;cái gì ? Có được trọng dụng không ? có được đá không ? <br> mà gọi là thiên tài ? CHỈ THẤY truyền thông ca ngợi mà thôi.
@chinhohuu2826,Đừng gọi là thien tai  .làm quyển kiêu căng thêm trong cuộc sống
@ToanNguyen-zz1uh,Thiên tài bán độ để lại tiéng xấu muôn đời vết nhơ ko bao giờ người đời quên được
@ToanNguyen-zz1uh,Thiên tài cái gì cái thằng bán độ
@raclaytv7334,Lúc đó tôi còn nhỏ nên kog để nặng vấn đề điểm đen của anh tôi chỉ si gem22 đi bóng đẹp ghi bàn hay nhớ tới h luôn còn kía tôi kog nhớ hihi
@kimtuo3149,"Tiếc cho văn quyến, thật sự rất thất vọng chưa co ai làm tiền đạo sắc bén như vq dc, hèn thật sự 😢"
@hoangcongdanh4709,ủa dàn xếp thắng mà  ?  ngon vậy tui cũng muốn làm Quyến :D . Tự dưng được free win mà có tiền ai chả làm :D
@ledinhqui5543,viêtnam chính thức thua indo
@T515Ss-jq3vi,My idol
@Kyogre-vn,"Tự dưng thấy video hiện lên góc, nhận ra từng có 1 thời gian rất thích bóng đá sau sự kiện bán độ đó gần như mình k xem bóng đá nữa luôn"
@ducle9146,Tất cả là do bầu Đức không học đại học
@trungpham.1602,Chưa một tiền đạo VN nào tiệm cận được khả năng xử lý và dứt điểm như Văn Quyến cả !
@honglocvo,"Giờ Việt Nam học văn hóa, đạo duc đặt len hàng đầu. Đa bóng nhung có lòng yêu nước. Tiếc là Văn quyến da sinh lầm thời. Nếu ko thi Việt Nam đã có một tiền đạo tuyệt vời."
@honglocvo,Giờ vn ma co tiền đạo đá tốt như vậy thi Thái Lan tuổi gi
@NguyenHai-dp2qs,Từ ngày ấy....gần 10 năm sau t đã k xem bóng đá VN cho đến khi Quang Hải - Công Phượng..... cho đến lứa thế hệ vàng này. Haiz. Thật tiếc cho a.
@h.nguyenn436,Tiếc cho Anh Văn Quyến😂😂
@sw99t_vn,Thật tiếc cho một thần đồng như Văn Quyến.
@tuanbaonguyen8195,do các ông lớn cá tỉ số bị thua độ nên mới chết 1 đám luôn
@AnhLam-ts3ec,quyen choi o ninh binh chi da du bi   quan chang biet gi noi linh tinh
@huuong5643,Chưa có ai vượt qua văn quyền trừ hồng sơn
@nhotran9605,Chắc thời đó đa có tiền ít
@ngocchuonghuynh835,Thằng chó bán nước
@longnguyenvu9268,Hưng nguyên chứ có hưng yên đâu cha
@NguyenTuanVuOfficial,"Nhớ thời cả nhà ngồi xem tivi 19 ing màn hình nồi xem ĐT VN, xem Văn Quyến quá. Thật tiếc cho 1 cầu thủ tài năng 😖"
@QuanNguyen-rk1sk,Tạm biệt một huyền thoại 🥀
